segment_id,segment_name,axis,parent_segment_id,tags,notes
origin_mexico_domestic,Origin — Mexico Domestic,origin_market,,industry:hospitality;sub_vertical:short_term_rental;country_of_origin:mexico;language:spanish;currency_paid:mxn;regime:domestic_tax,Domestic price-sensitive; long-weekend skew; lower ADR
origin_europe,Origin — Europe,origin_market,,industry:hospitality;sub_vertical:short_term_rental;continent_of_origin:europe;language:multi;currency_paid:eur;los_skew:longer,Longer stays (avg 8-14d); Q1 + Q4 peaks
origin_latam_intl,Origin — LatAm International,origin_market,,industry:hospitality;sub_vertical:short_term_rental;continent_of_origin:latam_non_mx;language:spanish;currency_paid:usd_or_local,Argentinian + Brazilian + Chilean cohorts; counter-seasonal
origin_asia_pacific,Origin — Asia Pacific,origin_market,,industry:hospitality;sub_vertical:short_term_rental;continent_of_origin:asia;language:multi;los_skew:longer;booking_window:far,Smaller share; longer LOS + far-advance bookings
ages_under_25,Age — Under 25,age_band,,industry:hospitality;sub_vertical:short_term_rental;age_min:18;age_max:24;budget_skew:low,Spring break + backpacker overlap; party-risk filter
ages_25_34,Age — 25-34,age_band,,industry:hospitality;sub_vertical:short_term_rental;age_min:25;age_max:34;digital_nomad_overlap:high,Largest digital nomad cohort
ages_35_54,Age — 35-54,age_band,,industry:hospitality;sub_vertical:short_term_rental;age_min:35;age_max:54;family_overlap:high,Family-trip prime; highest avg booking value
ages_55_plus,Age — 55+,age_band,,industry:hospitality;sub_vertical:short_term_rental;age_min:55;los_skew:longer;accessibility:often_required,Snowbirds + retirees; long-stay anchor; off-peak demand
returning_guest,Lifecycle — Returning Guest,lifecycle_stage,,industry:hospitality;sub_vertical:short_term_rental;past_bookings:1_plus;direct_likely:true;ppim_brand_dimension:personalization,Direct-booking-likely; LTV multiplier 2-3x first-time
loyal_advocate,Lifecycle — Loyal Advocate,lifecycle_stage,returning_guest,industry:hospitality;sub_vertical:short_term_rental;past_bookings:3_plus;referrals:1_plus;ppim_brand_dimension:upgrade,Top 5% of customers; referral source; testimonial source
first_time_guest,Lifecycle — First Time Guest,lifecycle_stage,,industry:hospitality;sub_vertical:short_term_rental;past_bookings:0;source:ota_typical;ppim_brand_dimension:responsiveness;ppim_brand_dimension:resolution,Critical first-impression window; review-likelihood determined here
