touchpoint_id,touchpoint_name,lifecycle_stage,ppim_brand_dimension,compatible_channels,tags,notes
pre_arrival_whatsapp,Pre-Arrival WhatsApp,pre_arrival,personalization,whatsapp_business,industry:hospitality;sub_vertical:short_term_rental;country:mexico;intent:onboarding;cost_event:per_session,Mexico-domestic preferred channel
upsell_offer,Upsell Offer,pre_arrival,upgrade,email_transactional;whatsapp_business;sms_marketing,industry:hospitality;sub_vertical:short_term_rental;intent:revenue_per_booking_uplift;cost_event:per_message,Airport transfer + early check-in + groceries + experiences
check_in_code_delivery,Check-in Code Delivery,pre_arrival,resolution,sms_transactional;email_transactional,industry:hospitality;sub_vertical:short_term_rental;intent:access;cost_event:per_message;criticality:critical,Smart lock or keyless code; timed to arrival window
arrival_greeting,Arrival Greeting,during_stay,personalization,whatsapp_business;sms_transactional;in_person,industry:hospitality;sub_vertical:short_term_rental;intent:welcome;cost_event:per_message_or_labor,Personalized welcome; sets review-likelihood
in_stay_concierge,In-Stay Concierge,during_stay,responsiveness,chatbot_ai;whatsapp_business;phone_voice,industry:hospitality;sub_vertical:short_term_rental;intent:problem_resolution_or_recommendation;cost_event:per_session_or_llm_call,Gigaton AI handles tier 1; human escalation tier 2+
maintenance_request,Maintenance Request,during_stay,resolution,whatsapp_business;phone_voice;chatbot_ai,industry:hospitality;sub_vertical:short_term_rental;intent:issue;cost_event:per_session;criticality:high;impacts_review:true,Response time < 30 min target; tracked for review-impact attribution
local_recommendation,Local Recommendation,during_stay,personalization,chatbot_ai;whatsapp_business,industry:hospitality;sub_vertical:short_term_rental;intent:experience_enhancement;cost_event:per_llm_call,Restaurants + activities + transport; affiliate-revenue potential
mid_stay_check_in,Mid-Stay Check-In,during_stay,personalization,whatsapp_business;email_transactional,industry:hospitality;sub_vertical:short_term_rental;intent:satisfaction_probe;cost_event:per_message,Catches issues before they become review problems
checkout_instructions,Checkout Instructions,post_stay,resolution,email_transactional;whatsapp_business;sms_transactional,industry:hospitality;sub_vertical:short_term_rental;intent:offboarding;cost_event:per_message,Time + cleanup expectations + key drop
review_request,Review Request,post_stay,quality,email_transactional;sms_marketing;whatsapp_business;in_app,industry:hospitality;sub_vertical:short_term_rental;intent:reputation_capture;cost_event:per_message,Timed 24-72h post-checkout; review-velocity matters
post_stay_thanks,Post-Stay Thanks,post_stay,personalization,email_transactional;whatsapp_business,industry:hospitality;sub_vertical:short_term_rental;intent:relationship;cost_event:per_message,Drives repeat-booking pathway
repeat_book_offer,Repeat-Book Offer,repeat,upgrade,email_newsletter;email_transactional;sms_marketing,industry:hospitality;sub_vertical:short_term_rental;intent:repeat_conversion;cost_event:per_message;audience:past_guests,Personalized window (anniversary + same-season-next-year)
referral_invite,Referral Invite,referral,upgrade,email_newsletter;email_transactional;in_app,industry:hospitality;sub_vertical:short_term_rental;intent:advocacy_activation;cost_event:per_message,Reward both sides; per affiliate_org_tier_policy
loyalty_milestone,Loyalty Milestone Notification,repeat,upgrade,email_newsletter;in_app;whatsapp_business,industry:hospitality;sub_vertical:short_term_rental;intent:retention;cost_event:per_message;audience:multi_stay,Tier-up notifications; gamification mechanic per gamification doctrine
review_response,Review Response,post_stay,resolution,airbnb_listing;vrbo_listing;gmb_reviews;tripadvisor_reviews,industry:hospitality;sub_vertical:short_term_rental;intent:reputation_management;cost_event:labor_minutes,Public response; matters more for negative reviews
testimonial_capture,Testimonial Capture,referral,quality,email_transactional;whatsapp_business;in_app,industry:hospitality;sub_vertical:short_term_rental;intent:case_study_collection;cost_event:per_message;audience:loyal_advocate,For loyal_advocate segment only; produces content marketing substrate
